name,description,price,stock,category,brand,car_model,image_url,featured
BYD Dolphin Mini,Hatchback eléctrico 100% EV,20990000,0,Eléctrico,BYD,Dolphin Mini,https://upload.wikimedia.org/wikipedia/commons/e/e2/BYD_Auto_2022_logo.svg,true
BYD Dolphin,Hatchback eléctrico 100% EV,28990000,0,Eléctrico,BYD,Dolphin,https://upload.wikimedia.org/wikipedia/commons/e/e2/BYD_Auto_2022_logo.svg,false
BYD Yuan Pro,SUV eléctrico 100% EV,26990000,0,SUV,BYD,Yuan Pro,https://upload.wikimedia.org/wikipedia/commons/e/e2/BYD_Auto_2022_logo.svg,false
BYD Song Pro,SUV eléctrico 100% EV,31990000,0,SUV,BYD,Song Pro,https://upload.wikimedia.org/wikipedia/commons/e/e2/BYD_Auto_2022_logo.svg,false
BYD Seal,Sedán eléctrico 100% EV,56990000,0,Sedán,BYD,Seal,https://upload.wikimedia.org/wikipedia/commons/e/e2/BYD_Auto_2022_logo.svg,false
MG ZS,SUV compacto gasolinero,12790000,0,SUV,MG,ZS,https://upload.wikimedia.org/wikipedia/commons/5/5e/Mg_logo.svg,true
MG 3,Hatchback compacto gasolinero,10590000,0,Hatchback,MG,3,https://upload.wikimedia.org/wikipedia/commons/5/5e/Mg_logo.svg,false
MG GT,Sedán deportivo gasolinero,14790000,0,Sedán,MG,GT,https://upload.wikimedia.org/wikipedia/commons/5/5e/Mg_logo.svg,false
MG ONE,SUV moderno gasolinero,17990000,0,SUV,MG,ONE,https://upload.wikimedia.org/wikipedia/commons/5/5e/Mg_logo.svg,false
MG HS,SUV mediano gasolinero,17990000,0,SUV,MG,HS,https://upload.wikimedia.org/wikipedia/commons/5/5e/Mg_logo.svg,false
Chery Tiggo 2 Pro Max,SUV compacto gasolinero,12990000,0,SUV,Chery,Tiggo 2 Pro Max,true
Chery Tiggo 7 Pro Max,SUV mediano gasolinero,19990000,0,SUV,Chery,Tiggo 7 Pro Max,false
Chery Tiggo 8 Pro Max,SUV 7 asientos gasolinero,23990000,0,SUV,Chery,Tiggo 8 Pro Max,false
Haval Jolion,SUV compacto gasolinero,17390000,0,SUV,Great Wall,Haval Jolion,false
Haval H6,SUV mediano gasolinero,22090000,0,SUV,Great Wall,Haval H6,false
Haval Dargo,SUV off-road gasolinero,24390000,0,SUV,Great Wall,Haval Dargo,false
Changan Alsvin,Sedán compacto gasolinero,10490000,0,Sedán,Changan,Alsvin,false
Changan CS35 Plus,SUV compacto gasolinero,16890000,0,SUV,Changan,CS35 Plus,false
Changan UNI-T,SUV coupe gasolinero,22690000,0,SUV,Changan,UNI-T,false
Geely GX3 Pro,SUV compacto gasolinero,10790000,0,SUV,Geely,GX3 Pro,false
Geely Coolray,SUV coupe gasolinero,16990000,0,SUV,Geely,Coolray,true
Geely Okavango,SUV 7 asientos gasolinero,24690000,0,SUV,Geely,Okavango,false
BAIC X35,SUV compacto gasolinero,12090000,0,SUV,BAIC,X35,false
BAIC X55 Plus,SUV mediano gasolinero,17990000,0,SUV,BAIC,X55 Plus,false
GAC GS3 Power,SUV compacto gasolinero,12990000,0,SUV,GAC,GS3 Power,true
GAC Emkoo,SUV coupe gasolinero,18490000,0,SUV,GAC,Emkoo,false
JAC JS2,SUV compacto gasolinero,12090000,0,SUV,JAC,JS2,false
JAC JS4,SUV mediano gasolinero,13940000,0,SUV,JAC,JS4,false
Jetour Dashing,SUV juvenil gasolinero,17490000,0,SUV,Jetour,Dashing,false
Jetour X70,SUV familiar gasolinero,17490000,0,SUV,Jetour,X70,false
Omoda C5,SUV compacto gasolinero,15990000,0,SUV,Omoda,C5,false
